date,game_pk,home_team,away_team,season,margin_edge,side,is_dog,odds_used,ml_units,actual_f5_margin,won,push,profit,bet_type,model_total,consensus_f5_total,edge,actual_f5_total,model_nrfi_prob,market_nrfi_prob,actual_nrfi
2023-05-03,718328,Tampa Bay Rays,Pittsburgh Pirates,2023,0.541,HOME_F5_ML,False,-235.0,1.0,4.0,True,False,43.0,f5_ml,,,,,,,
2023-05-03,718333,Washington Nationals,Chicago Cubs,2023,0.501,HOME_F5_ML,True,163.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2023-05-05,718307,Pittsburgh Pirates,Toronto Blue Jays,2023,1.964,HOME_F5_ML,True,290.0,3.0,-4.0,False,False,-300.0,f5_ml,,,,,,,
2023-05-04,718316,Boston Red Sox,Toronto Blue Jays,2023,-7.071,AWAY_F5_ML,True,625.0,3.0,4.0,False,False,-300.0,f5_ml,,,,,,,
2023-05-05,718300,Tampa Bay Rays,New York Yankees,2023,-1.077,AWAY_F5_ML,True,335.0,2.0,4.0,False,False,-200.0,f5_ml,,,,,,,
2023-05-05,718298,Atlanta Braves,Baltimore Orioles,2023,-0.66,AWAY_F5_ML,True,192.0,1.0,-1.0,True,False,192.0,f5_ml,,,,,,,
2023-05-06,718286,Pittsburgh Pirates,Toronto Blue Jays,2023,1.788,HOME_F5_ML,True,1075.0,3.0,-7.0,False,False,-300.0,f5_ml,,,,,,,
2023-05-06,718282,Arizona Diamondbacks,Washington Nationals,2023,-0.549,AWAY_F5_ML,True,138.0,1.0,-1.0,True,False,138.0,f5_ml,,,,,,,
2023-05-06,718279,San Diego Padres,Los Angeles Dodgers,2023,0.808,HOME_F5_ML,True,-104.0,1.5,-2.0,False,False,-150.0,f5_ml,,,,,,,
2023-05-07,718266,San Diego Padres,Los Angeles Dodgers,2023,-0.506,AWAY_F5_ML,False,-118.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2023-05-08,718261,Cleveland Guardians,Detroit Tigers,2023,3.846,HOME_F5_ML,True,390.0,3.0,-2.0,False,False,-300.0,f5_ml,,,,,,,
2023-05-08,718259,Baltimore Orioles,Tampa Bay Rays,2023,-1.153,AWAY_F5_ML,False,-174.0,2.0,-1.0,True,False,115.0,f5_ml,,,,,,,
2023-05-08,718258,Pittsburgh Pirates,Colorado Rockies,2023,-0.699,AWAY_F5_ML,True,160.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2023-05-08,718257,Milwaukee Brewers,Los Angeles Dodgers,2023,1.145,HOME_F5_ML,False,-130.0,2.0,3.0,True,False,154.0,f5_ml,,,,,,,
2023-05-09,718248,Cleveland Guardians,Detroit Tigers,2023,-1.511,AWAY_F5_ML,True,412.0,3.0,1.0,False,False,-300.0,f5_ml,,,,,,,
2023-05-09,718246,Baltimore Orioles,Tampa Bay Rays,2023,2.001,HOME_F5_ML,True,260.0,3.0,2.0,True,False,780.0,f5_ml,,,,,,,
2023-05-09,718247,New York Yankees,Oakland Athletics,2023,1.136,HOME_F5_ML,False,-240.0,2.0,5.0,True,False,83.0,f5_ml,,,,,,,
2023-05-09,718250,San Francisco Giants,Washington Nationals,2023,0.692,HOME_F5_ML,False,-208.0,1.0,3.0,True,False,48.0,f5_ml,,,,,,,
2023-05-10,718225,Cincinnati Reds,New York Mets,2023,-0.965,AWAY_F5_ML,True,165.0,1.5,-1.0,True,False,248.0,f5_ml,,,,,,,
2023-05-10,718227,Baltimore Orioles,Tampa Bay Rays,2023,0.586,HOME_F5_ML,True,-110.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2023-05-10,718224,Minnesota Twins,San Diego Padres,2023,0.503,HOME_F5_ML,False,-141.0,1.0,2.0,True,False,71.0,f5_ml,,,,,,,
2023-05-12,718206,Toronto Blue Jays,Atlanta Braves,2023,-0.935,AWAY_F5_ML,False,-170.0,1.5,1.0,False,False,-150.0,f5_ml,,,,,,,
2023-05-12,718211,Boston Red Sox,St. Louis Cardinals,2023,1.975,HOME_F5_ML,False,-121.0,3.0,2.0,True,False,248.0,f5_ml,,,,,,,
2023-05-12,718200,Oakland Athletics,Texas Rangers,2023,1.867,HOME_F5_ML,True,220.0,3.0,0.0,False,True,0.0,f5_ml,,,,,,,
2023-05-13,718191,Cleveland Guardians,Los Angeles Angels,2023,2.621,HOME_F5_ML,True,850.0,3.0,-3.0,False,False,-300.0,f5_ml,,,,,,,
